,Mean,Std,Min,Max,Range,Skewness,Kurtosis
Feature_0,0.3111600310430393,2.1777480733759425,-7.683006238717132,8.190629056562369,15.8736352952795,0.09279214883680674,0.3465307346860458
Feature_1,-0.005851483121780943,2.0434839009527743,-6.114580754543618,7.275296646604009,13.389877401147627,0.06735018816564198,-0.04241502677491882
Feature_2,0.7121253297513769,2.1308876800416305,-6.731508380006755,8.044975336667559,14.776483716674313,-0.09509324251929771,-0.10691221984091781
Feature_3,1.1729944766162308,3.2444413736271653,-13.051187043942798,10.22944009556889,23.280627139511687,-0.35304328071176516,0.04977229360391666
Feature_4,-0.3000774557043088,2.023781769834079,-8.733390331342086,7.213957731750594,15.94734806309268,0.24721611269917648,0.20030438317928168
Feature_5,0.08296331969362136,2.081423349467088,-6.919598031719046,5.901525271437614,12.82112330315666,-0.07254712989869758,-0.18625422133897063
Feature_6,-0.6390525109178367,1.91554316491004,-7.405926385299431,6.355870374381046,13.761796759680475,0.13861946791380308,0.18149090006719515
Feature_7,-1.5648783488364058,3.587395351273074,-15.184180662956939,13.43326567036534,28.617446333322277,0.21898663552512726,0.22691510601410414
Feature_8,-0.35061784394147893,2.000971892766502,-7.067060746810655,6.102031828735235,13.16909257554589,0.07309977044019829,-0.07477371665587862
Feature_9,0.40843547215832215,2.1930883595779718,-7.149630893719463,7.978745826599895,15.128376720319359,-0.12287712952946525,0.013726691576271044
Feature_10,-0.6260113137521697,1.9884895840825998,-8.022729303758563,6.270111833017185,14.292841136775749,0.03848744419027305,0.12357714863462954
Feature_11,0.030553321300415954,2.286818461510299,-6.560027392903214,8.081522666416435,14.641550059319648,0.23148885994500265,-0.052570291878473174
Feature_0_1_ratio,1.530508235200687,56.63558934769143,-295.75376943749876,2419.500163569197,2715.2539330066957,38.98093556586947,1658.007423024607
Feature_2_3_diff,-0.4608691468648508,2.811039750767272,-9.433365651224204,10.106846801033857,19.54021245225806,0.20581670880704234,0.13401058239127828
Feature_4_5_sum,-0.21711413601068794,2.928336025683359,-9.462233089557685,9.134658776746608,18.596891866304293,0.10354957568890921,-0.3347351174163018
